Acai,5g,19g,4g,207
Acerola,0g,0g,3.5g,14
Ackerbohnen,8g,0.6g,18g,109
Apfel,0.4g,0.2g,11g,47
Apfelringe getrocknet,1.5g,1.4g,60g,259
Aprikose,1g,0g,9g,40
Aronia Beeren,2.5g,2g,20g,108
Artischocke,2g,0g,2.9g,20
Aubergine,1g,0.9g,3g,24
Austernpilze,2g,0g,0g,8
Avocado,2g,22g,2g,214
Bambussprossen,1.7g,0g,1g,11
Banane,1.2g,0.2g,20g,87
Berberitzen. getrocknet,3.4g,2.8g,65.2g,300
Birne,1g,0g,11g,48
Blattsalat,1.1g,0g,2g,12
Blaukraut,1.8g,0.4g,4g,27
Blumenkohl,3g,0g,2g,20
Brennnessel,6g,0.5g,5g,49
Brokkoli,4g,0.2g,2.9g,29
Brombeeren,0.8g,0.8g,5g,30
Butterpilze,2g,0g,0g,8
Camu-Camu Pulver,4g,0g,89g,372
Champignons,3g,0g,0.8g,15
Cherrytomaten,0.7g,0.1g,3.5g,18
Chicorée,1g,0g,2g,12
Chilischote,1.8g,0.4g,9g,47
Chinakohl,0.7g,0.3g,0.8g,9
Chlorella,55g,10g,23g,402
Clementine,1g,0g,9.5g,42
Cranberries getrocknet,0.5g,0.5g,81g,331
Cranberry,1g,1g,5g,33
Datteln,2g,0g,60g,248
Dicke Bohnen,6.8g,1.2g,11.9g,86
Drachenfrucht,0.9g,0.4g,7.1g,36
Eisbergsalat,0.5g,0g,0.7g,5
Endiviensalat,1.2g,0.2g,3.4g,20
Erdbeeren,1g,1g,7g,41
Feige,1g,0g,12g,52
Feldsalat,2.1g,0g,0.8g,12
Fenchel,2.4g,0.5g,2.8g,25
Frühlingszwiebel,1.8g,0.4g,4.9g,30
Frühlingszwiebeln,1.9g,0.4g,7g,39
Galiamelone,0.4g,0.1g,5.7g,25
Gerstengras Pulver,28g,2g,26g,234
Gewürzgurken,1g,0g,6g,28
Goji Beeren getrocknet,11g,4.7g,54g,302
Granatapfel,1g,0g,15g,64
Grapefruit,1g,0g,6g,28
Grüne Bohnen,2g,0g,5g,28
Grüne Erbsen,7g,0.4g,11g,76
Grüner Spargel,1.9g,0.2g,2.8g,21
Grünkohl,3.8g,0.8g,2.7g,33
Guave,1g,1g,6g,37
Gurke grün,1g,0g,2g,12
Hagebutten,1.6g,0.2g,16g,72
Heidelbeeren,1g,0g,6g,28
Himbeeren,1g,0g,5g,24
Holunder,0.6g,0.5g,8g,39
Honigmelone,1g,0g,11g,48
Ingwer,1.6g,0.8g,13g,66
Kaisergemüse,2g,0.2g,3.3g,23
Kakaobohnen,20g,25g,11g,349
Kaki,1g,0g,15g,64
Kapern. Glas,2.4g,0.8g,5g,37
Karambole,0.8g,1g,3.8g,27
Kartoffeln roh,1.7g,0.3g,16g,74
Kartoffelpüree,2g,1.4g,12g,69
Kichererbsen,20g,7g,45g,323
Kidneybohnen,21g,1g,40g,253
Kiwi,1g,1g,8g,45
Knoblauch,5.8g,0.2g,27g,133
Knollensellerie,1.5g,0.3g,2.4g,18
Kohlrabi,2g,0.4g,4g,28
Kohlrübe,1g,0.2g,5g,26
Kopfsalat,1g,0g,1g,8
Kumquat,1.2g,0.4g,14g,64
Kürbis Hokkaido,0.8g,0g,5.2g,24
Limette,0.7g,0.2g,8.7g,39
Linsen roh,24g,1.9g,40.6g,276
Litschi,1g,0g,16g,68
Lollo Rosso,1.3g,0.2g,2.5g,17
Mairübchen,1g,0.1g,4.7g,24
Mais (Dose),2.9g,1.9g,10.8g,80
Maiskolben ganz,8g,3.8g,45g,255
Mandarine,1g,0.4g,10g,48
Mango,1g,0.2g,13g,58
Mangold,1.5g,0.6g,1g,15
Maniok,1.4g,0.3g,36g,152
Maulbeeren,1.4g,0.4g,10g,49
Meerrettich,1.2g,0.6g,12g,58
Mischgemüse,3.2g,0.4g,10.7g,59
Morcheln,2g,0g,0g,8
Moringa Pulver,28g,6.2g,39g,324
Mungobohnen,24g,1.2g,47g,295
